transaction_id,step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
TXN026,145,PAYMENT,18500.00,105000.00,86500.00,0.00,0.00
TXN027,150,CASH_OUT,220000.00,500000.00,280000.00,10000.00,230000.00
TXN028,155,TRANSFER,950.00,950.00,0.00,0.00,950.00
TXN029,160,CASH_IN,150000.00,5000.00,155000.00,500000.00,350000.00
TXN030,165,DEBIT,4500.00,12000.00,7500.00,3000.00,7500.00
TXN031,170,TRANSFER,80000.00,80000.00,0.00,0.00,0.00
TXN032,175,CASH_OUT,5500.00,5500.00,0.00,0.00,5500.00
TXN033,180,PAYMENT,35.00,200.00,165.00,0.00,0.00
TXN034,185,TRANSFER,1250000.00,2000000.00,750000.00,50000.00,1300000.00
TXN035,190,CASH_IN,85000.00,1000.00,86000.00,200000.00,115000.00
TXN036,195,DEBIT,1200.00,1500.00,300.00,4000.00,5200.00
TXN037,200,CASH_OUT,45000.00,45000.00,0.00,1000.00,1000.00
TXN038,205,PAYMENT,9500.00,10000.00,500.00,0.00,0.00
TXN039,210,TRANSFER,300000.00,300000.00,0.00,0.00,0.00
TXN040,215,CASH_OUT,60000.00,150000.00,90000.00,20000.00,80000.00
